"prod.date.sq.","prod.values.sq.","auto.values.sq.","cam.values.sq.","ventaauto.values.sq.","sub.values.sq.","comp.values.sq.","lujo.values.sq.","sport.values.sq.","import.values.sq.","cam1.values.sq.","nac.values.sq.","importcam.values.sq."
1990-02-01,46760,32894,13866,23295,13347,7679,960,1309,0,NA,NA,NA
1990-01-01,46432,33676,12756,24977,13539,8175,1388,1875,0,NA,NA,NA
1989-12-01,39558,27405,12153,29268,12803,11997,1978,2490,0,NA,NA,NA
1989-11-01,51229,35572,15657,30344,13729,12448,2009,2158,0,NA,NA,NA
1989-10-01,54193,35675,18518,25336,11610,10120,1863,1743,0,NA,NA,NA
1989-09-01,39797,26889,12908,18923,9598,6905,1023,1397,0,NA,NA,NA
1989-08-01,50369,33544,16825,20712,9914,8113,1026,1659,0,NA,NA,NA
1989-07-01,57588,42307,15281,20966,9284,8672,1285,1725,0,NA,NA,NA
1989-06-01,68677,50016,18661,23146,10486,9289,1389,1982,0,NA,NA,NA
1989-05-01,61960,44730,17230,21759,10097,8489,1373,1800,0,NA,NA,NA
1989-04-01,53631,37132,16499,19488,8254,8450,1197,1587,0,NA,NA,NA
1989-03-01,51853,35898,15955,19768,8979,8279,1053,1457,0,NA,NA,NA
1989-02-01,48967,33617,15350,19223,8583,7839,1134,1667,0,NA,NA,NA
1989-01-01,51408,35847,15561,19614,8732,8009,1044,1829,0,NA,NA,NA
1988-12-01,41183,26945,14238,21858,8958,9021,1399,2480,0,NA,NA,NA
1988-11-01,49449,35261,14188,25300,10995,10320,1653,2332,0,NA,NA,NA
1988-10-01,45419,32331,13088,22682,9727,9334,1863,1758,0,NA,NA,NA
1988-09-01,39529,27876,11653,13685,6618,4970,1278,819,0,NA,NA,NA
1988-08-01,43192,30828,12364,17587,8577,6704,1299,1007,0,NA,NA,NA
1988-07-01,39746,27250,12496,19603,9883,7104,1341,1275,0,NA,NA,NA
1988-06-01,46346,31825,14521,19800,8921,8087,1402,1390,0,NA,NA,NA
1988-05-01,45072,32173,12899,18710,7775,8289,1378,1268,0,NA,NA,NA
1988-04-01,35605,25428,10177,15039,6392,6585,873,1189,0,NA,NA,NA
1988-03-01,41808,29152,12656,12901,5073,5963,576,1289,0,NA,NA,NA
1988-02-01,40890,28737,12153,13159,5115,5988,712,1344,0,NA,NA,NA
1988-01-01,36963,25977,10986,11661,5434,4000,696,1531,0,NA,NA,NA
1987-12-01,37293,25041,12252,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-11-01,34461,25211,9250,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-10-01,37455,27429,10026,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-09-01,31522,23448,8074,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-08-01,23841,16942,6899,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-07-01,36385,25125,11260,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-06-01,41974,31446,10528,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-05-01,36841,26762,10079,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-04-01,27494,18594,8900,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-03-01,31346,19360,11986,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-02-01,28411,19120,9291,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987-01-01,28235,18930,9305,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-12-01,20613,12580,8033,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-11-01,26085,14774,11311,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-10-01,30422,19623,10799,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-09-01,21138,12381,8757,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-08-01,24643,14928,9715,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-07-01,31742,18644,13098,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-06-01,25737,16279,9458,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-05-01,30591,18264,12327,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-04-01,36825,22329,14496,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-03-01,30127,18672,11455,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-02-01,29301,18642,10659,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-01-01,33828,21353,12475,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-12-01,28526,18474,10052,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-11-01,34940,23565,11375,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-10-01,42269,27249,15020,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-09-01,32948,20510,12438,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-08-01,34972,21766,13206,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-07-01,43767,30054,13713,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-06-01,36904,25473,11431,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-05-01,43125,26211,16914,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-04-01,38242,24838,13404,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-03-01,41776,26804,14972,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-02-01,40718,26598,14120,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-01-01,40493,25522,14971,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-12-01,27944,18451,9493,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-11-01,36589,24153,12436,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-10-01,33082,20838,12244,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-09-01,27023,20693,6330,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-08-01,31467,21256,10211,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-07-01,33815,22688,11127,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-06-01,32814,22575,10239,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-05-01,32554,22652,9902,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-04-01,23932,16210,7722,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-03-01,27177,18902,8275,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-02-01,25382,17711,7671,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-01-01,26219,18575,7644,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-12-01,17903,12293,5610,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-11-01,23246,16952,6294,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-10-01,24780,17812,6968,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-09-01,16936,12365,4571,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-08-01,21944,17620,4324,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-07-01,20651,16382,4269,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-06-01,23898,17975,5923,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-05-01,23131,17137,5994,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-04-01,25037,18609,6428,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-03-01,31309,21043,10266,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-02-01,29649,19184,10465,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-01-01,27001,19765,7236,NA,NA,NA,NA,NA,NA,NA,NA,NA
