"imcp_total_desest.date","imcp_total_desest.values","imcp_nacional_desest.values","imcp_nacional_bienes_desest.values","imcp_nacional_servicios_desest.values","imcp_importado_desest.values"
2021-11-01,114.901046796469,112.14194937559,110.028218783875,113.810357522906,135.868629635367
2021-10-01,114.092717758539,111.863871030121,109.859515823342,113.022411014728,134.207998963504
2021-09-01,113.822965125026,111.608413269555,109.629002513051,112.921395093961,132.254786517139
2021-08-01,112.821195155003,110.623562781528,109.203885954569,111.97407669099,132.368417462966
2021-07-01,112.71400024219,110.344486150249,109.156319451188,111.935432176705,137.040672182266
2021-06-01,112.268362901009,110.055960141787,107.920152013748,111.877518437361,135.782400053416
2021-05-01,113.476964632332,110.650157293424,110.325390109154,111.404850632898,137.532095734805
2021-04-01,112.827969794997,110.914103285509,112.193154380033,110.438308319125,125.844846624545
2021-03-01,110.951103120235,108.762219699761,109.693430997059,108.845748702518,132.958873232148
2021-02-01,109.066750586845,107.11465252934,109.494019559738,105.614252827107,125.758444659696
2021-01-01,109.247066839804,107.522108783198,109.111071606191,104.648614317931,126.294558026061
2020-12-01,108.842586451723,107.226066834669,108.202915840521,106.543310882452,124.231559424357
2020-11-01,108.342719124451,106.787749642457,108.308782628938,104.597406180743,121.787896643356
2020-10-01,106.713012367967,106.604435217149,108.441786404352,103.82490683415,108.744675097493
2020-09-01,105.249980438739,104.834735054387,105.512741974912,103.573111147124,107.304815901253
2020-08-01,102.63542764135,101.889435338944,103.986592335597,99.705038924742,110.398575455767
2020-07-01,99.718887066479,99.640161288813,102.852342291029,96.938913662329,101.697122953052
2020-06-01,94.204212394676,94.637048069439,95.172712993258,93.716117570828,91.952586738135
2020-05-01,87.399439834078,87.916571477519,84.14328141043,91.968265830864,81.212023251141
2020-04-01,89.353810591412,89.08504068621,85.449433249784,93.280869946023,87.324197974059
2020-03-01,111.514051494447,112.369158244128,110.312133834582,115.332551775589,108.101057241073
2020-02-01,117.457747475699,116.628369372314,110.00434227484,123.841509641805,122.460086212995
