"date","A001RD3A086NBEA","A001RG3A086NBEA","A006RA3A086NBEA","A006RD3A086NBEA","A007RA3A086NBEA","A007RD3A086NBEA","A008RA3A086NBEA","A008RD3A086NBEA","A009RD3A086NBEA","A011RA3A086NBEA","A011RD3A086NBEA","A020RD3A086NBEA","A021RD3A086NBEA","A024RA3A086NBEA","A024RG3A086NBEA","A027RA3A086NBEA","A027RG3A086NBEA","A133RA3A086NBEA","A133RG3A086NBEA","A134RA3A086NBEA","A134RG3A086NBEA","A135RA3A086NBEA","A135RG3A086NBEA","A136RA3A086NBEA","A136RG3A086NBEA","A137RG3A086NBEA","A190RA3A086NBEA","A190RD3A086NBEA","A191RA3A086NBEA","A191RD3A086NBEA","A191RG3A086NBEA","A194RA3A086NBEA","A194RG3A086NBEA","A2009A3A086NBEA","A2009G3A086NBEA","A253RD3A086NBEA","A255RD3A086NBEA","A262RA3A086NBEA","A262RG3A086NBEA","A264RA3A086NBEA","A264RG3A086NBEA","A265RA3A086NBEA","A265RG3A086NBEA","A266RA3A086NBEA","A266RG3A086NBEA","A325RA3A086NBEA","A325RG3A086NBEA","A326RA3A086NBEA","A326RG3A086NBEA","A334RA3A086NBEA","A334RG3A086NBEA","A341RA3A086NBEA","A341RG3A086NBEA","A349RA3A086NBEA","A349RG3A086NBEA","A353RA3A086NBEA","A353RG3A086NBEA","A354RA3A086NBEA","A354RG3A086NBEA","A356RA3A086NBEA","A356RG3A086NBEA","A362RA3A086NBEA","A362RG3A086NBEA"
2003-01-01,82.619,82.629,87.36,88.503,89.416,88.265,71.246,91.156,62.769,174.881,84.325,79.531,75.378,76.917,88.153,85.958,81.935,92.562,95.402,NA,NA,NA,NA,102.392,93.424,97.253,85.593,82.609,85.305,82.625,82.635,97.6,74.571,82.78,82.081,79.497,74.483,77.258,86.379,78.891,78.87,78.792,79.793,79.594,72.349,73.859,97.302,70.088,106.034,79.38,86.515,85.835,78.239,136.424,74.48,73.161,97.24,69.052,105.862,79.159,86.586,86.9,81.933
2004-01-01,84.836,84.835,95.453,91.157,95.692,90.843,75.241,92.055,67.416,192.329,90.243,82.435,78.971,79.808,90.084,89.431,84.176,91.632,95.864,NA,NA,NA,NA,103.505,92.898,97.217,88.546,84.814,88.592,84.843,84.842,97.815,78.296,85.708,83.907,82.298,78.038,80.035,88.365,81.131,81.082,80.932,81.864,82.618,75.555,77.032,97.167,74.145,104.323,81.149,88.226,88.206,80.896,145.728,79.861,77.276,97.137,73.777,104.184,82.268,88.337,90.287,84.175
2005-01-01,87.499,87.485,101.862,94.913,102.672,94.597,81.017,94.443,75.733,204.944,96.706,85.289,83.618,83.18,93.677,92.404,86.673,102.603,97.468,NA,NA,NA,NA,108.816,93.784,101.585,91.71,87.47,91.678,87.504,87.49,98.204,81.688,89.804,85.72,84.917,82.992,83.239,91.922,83.548,84.484,83.351,85.077,85.019,80.274,81.213,96.932,79.444,104.092,83.594,87.987,90.574,83.991,153.388,86.805,81.214,96.917,79.168,103.993,83.9,88.081,93.35,86.668
2006-01-01,90.199,90.207,104.984,98.13,105.344,97.958,87.521,96.745,84.749,189.548,102.355,88.006,86.854,86.831,96.884,94.483,89.316,105.854,98.622,NA,NA,NA,NA,110.768,94.612,102.104,94.18,90.195,94.229,90.204,90.212,98.435,85.151,91.574,88.429,87.55,86.318,86.706,95.101,86.157,87.546,86.044,87.932,86.995,84.794,85.882,96.92,84.507,103.354,87.641,88.878,92.556,87.201,148.729,93.536,86.095,96.936,83.679,103.323,89.328,88.964,95.717,89.31
2007-01-01,92.64,92.651,102.379,99.585,104.036,99.456,93.558,98.31,89.748,154.117,103.708,91.328,89.885,90.381,98.429,96.42,91.845,104.467,98.602,NA,NA,NA,NA,106.712,94.231,102.039,96.317,92.645,96.123,92.642,92.653,99.345,88.928,93.343,91.765,90.978,89.232,90.12,97.042,88.947,91.174,88.949,91.431,88.937,89.335,90.31,97.376,90.162,102.529,90.224,90.975,94.853,90.326,137.142,96.389,89.738,97.391,88.651,102.497,90.927,91.049,97.308,91.837
2008-01-01,94.421,94.401,93.941,100.597,97.997,100.296,94.133,99.832,94.335,116.809,102.249,95.493,98.796,93.238,99.499,96.359,93.649,98.178,94.971,NA,NA,NA,NA,95.793,93.931,94.29,96.881,94.394,96.241,94.419,94.397,101.08,91.891,98.222,94.661,95.67,98.972,92.983,98.48,91.84,94.194,91.925,94.409,91.229,92.658,90.941,96.326,90.222,101.31,91.69,90.14,96.855,93.263,122.073,97.978,88.944,96.33,87.487,101.268,90.691,90.203,96.88,93.635
2009-01-01,95.018,95.013,74.071,99.366,82.329,99.076,80.45,99.184,92.613,91.492,98.671,89.803,87.852,94.584,97.924,93.152,94.583,64.333,96.376,NA,NA,NA,NA,79.294,94.84,90.496,95.165,94.991,93.739,95.024,95.019,102.62,93.537,97.242,97.463,88.908,86.54,94.583,97.333,94.553,94.866,94.641,95.125,93.917,93.009,88.441,98.178,84.802,101.122,93.364,94.504,97.572,93.582,97.386,95.402,83.938,98.29,78.768,101.17,91.099,94.667,93.575,94.583
2010-01-01,96.162,96.161,84.542,97.699,84.852,97.568,84.068,97.416,92.006,88.66,98.317,93.35,92.656,95.393,97.349,96.323,96.002,78.417,97.271,NA,NA,NA,NA,76.597,95.774,97.541,96.379,96.142,96.278,96.166,96.164,102.612,96.686,99.898,96.772,92.952,91.961,95.664,97.022,96.812,95.662,96.876,95.886,96.35,94.057,91.711,97.431,89.111,99.603,95.193,94.686,98.873,95.734,87.339,94.96,91.446,97.492,88.53,99.528,95.429,94.873,96.394,96.003
2011-01-01,98.165,98.159,90.097,98.748,90.875,98.641,91.354,98.559,95.362,88.532,99.049,99.237,99.716,97.22,98.658,97.926,98.09,81.326,99.598,NA,NA,NA,NA,85.609,98.617,100.674,97.927,98.146,97.77,98.164,98.157,101.524,98.332,100.494,98.007,99.793,99.869,97.493,98.529,98.65,97.988,98.694,98.131,98.331,96.965,95.846,98.838,95.037,99.685,96.91,97.745,99.446,97.958,88.416,97.11,95.36,98.868,94.466,99.687,96.56,97.791,97.822,98.087
2012-01-01,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2013-01-01,101.747,101.765,106.855,100.876,105.551,101.091,104.127,100.251,101.455,112.369,105.054,100.148,98.697,103.318,101.167,101.581,101.872,98.817,100.237,NA,NA,NA,NA,99.961,100.519,99.14,101.615,101.791,101.842,101.751,101.769,98.911,103.79,100.805,102.042,99.32,98.059,102.861,101.19,100.936,101.286,100.839,101.184,101.627,102.015,103.775,100.244,103.592,99.94,104.013,100.64,100.356,102.395,106.556,103.282,104.497,100.199,103.199,99.913,106.216,100.575,101.651,101.878
2014-01-01,103.652,103.661,112.871,102.872,112.494,103.172,111.649,101.469,107.198,116.688,111.118,100.216,97.961,106.764,103.384,103.769,103.722,97.34,99.866,NA,NA,NA,NA,97.136,100.203,97.912,104.076,103.707,104.172,103.654,103.662,98.549,106.718,101.543,104.364,98.312,96.752,105.758,103.329,101.515,103.085,101.274,102.938,103.216,104.132,107.729,100.21,107.365,99.69,108.201,100.883,101.715,104.872,114.379,109.315,107.99,100.129,106.785,99.665,109.585,100.734,103.874,103.725
2015-01-01,104.681,104.652,119.071,103.697,116.798,104.075,114.247,101.909,109.403,128.567,114.114,95.373,90.144,110.25,104.036,106.418,104.772,83.634,99.95,NA,NA,NA,NA,89.142,100.16,95.63,106.584,104.76,106.991,104.691,104.662,98.807,109.598,101.815,107.391,91.323,87.644,108.666,104.007,101.976,103.881,101.579,103.634,104.781,105.614,110.011,100.077,108.965,99.919,111.363,100.287,104.035,106.353,119.569,111.995,111.34,99.854,108.011,99.867,115.737,99.86,106.677,104.786
2016-01-01,105.727,105.691,117.857,103.726,119.229,104.202,115.269,101.119,109.67,137.058,118.127,93.458,87.058,113.7,103.897,108.032,106.026,73.87,97.537,NA,NA,NA,NA,81.02,99.658,90.957,108.947,105.832,108.775,105.74,105.703,99.828,111.001,102.366,110.632,87.772,83.999,111.586,103.918,102.661,104.022,102.107,103.625,106.561,106.792,113.603,99.171,112.51,99.022,115.014,99.368,105.918,108.311,121.169,114.297,112.897,98.883,110.351,98.98,116.253,98.785,108.25,106.046
2017-01-01,107.734,107.729,122.532,105.258,124.065,105.928,119.959,101.977,112.545,142.553,123.454,95.897,88.996,117.194,105.558,110.726,108.13,59.458,95.353,NA,NA,NA,NA,75.082,98.939,87.387,111.417,107.874,111.229,107.747,107.742,100.49,113.214,102.933,114.08,90.058,85.883,114.614,105.612,103.727,105.872,103,105.391,108.818,109.209,117.916,99.321,116.322,98.592,119.972,100.255,107.409,111.08,126.108,118.579,117.126,99.042,114.706,98.556,120.313,99.68,110.598,108.151
2018-01-01,110.314,110.312,129.488,107.156,130.021,107.925,127.656,102.815,114.391,141.726,130.417,99.135,91.515,121.079,107.406,113.833,110.815,47.363,93.927,NA,NA,NA,NA,68.167,98.459,86.152,114.497,110.468,114.475,110.321,110.326,101.084,117.148,104.433,117.69,93.274,88.267,118.032,107.661,105.186,108.889,104.29,108.355,111.448,112.591,123.484,99.944,123.813,98.538,123.097,101.75,109.655,114.457,127.882,123.16,123.268,99.656,123.279,98.531,123.284,101.125,113.812,110.84
2019-01-01,112.283,112.261,133.904,108.991,134.14,109.684,133.204,104.137,119.058,140.445,134.145,98.66,90.078,125.354,109.129,115.998,112.785,39.179,94.925,NA,NA,NA,NA,60.162,99.037,84.711,117.066,112.429,117.096,112.294,112.279,102.059,119.557,105.694,121.697,91.792,86.389,121.8,109.498,106.847,111.287,105.828,110.583,113.952,116.126,128.659,100.305,129.371,99.4,127.79,101.453,111.331,116.993,128.395,127.378,128.602,100.014,128.098,99.383,129.29,100.832,116.222,112.815
2020-01-01,113.636,113.721,126.489,109.698,130.538,111.052,126.081,104.813,120.852,150.001,138.541,96.188,88.075,129.061,110.494,110.461,114.254,29.145,96.171,NA,NA,NA,NA,49.458,99.924,88.419,113.676,113.902,113.109,113.648,113.74,101.435,123.431,105.93,125.709,88.162,83.963,125.153,110.917,108.731,112.975,107.651,112.325,116.248,117.457,131.321,100.125,130.143,99.623,132.873,100.75,105.196,119.217,125.86,130.582,128.967,99.81,125.187,99.622,133.971,100.057,110.895,114.285
