"date","UNRATE","UNEMPLOY","AWHNONAG","AHETPI"
2009-02-01,8.3,12898,33.3,18.44
2009-03-01,8.7,13426,33.1,18.5
2009-04-01,9,13853,33.1,18.52
2009-05-01,9.4,14499,33,18.53
2009-06-01,9.5,14707,33,18.56
2009-07-01,9.5,14601,33.1,18.59
2009-08-01,9.6,14814,33.1,18.67
2009-09-01,9.8,15009,33.1,18.7
2009-10-01,10,15352,33,18.74
2009-11-01,9.9,15219,33.3,18.8
2009-12-01,9.9,15098,33.2,18.83
2010-01-01,9.8,15046,33.3,18.88
2010-02-01,9.8,15113,33.1,18.91
2010-03-01,9.9,15202,33.3,18.91
2010-04-01,9.9,15325,33.4,18.96
2010-05-01,9.6,14849,33.4,19.01
2010-06-01,9.4,14474,33.3,19.02
2010-07-01,9.4,14512,33.4,19.04
2010-08-01,9.5,14648,33.5,19.11
2010-09-01,9.5,14579,33.5,19.11
2010-10-01,9.4,14516,33.5,19.2
2010-11-01,9.8,15081,33.5,19.21
2010-12-01,9.3,14348,33.5,19.22
2011-01-01,9.1,14013,33.4,19.32
2011-02-01,9,13820,33.5,19.31
2011-03-01,9,13737,33.5,19.31
2011-04-01,9.1,13957,33.6,19.36
2011-05-01,9,13855,33.6,19.41
2011-06-01,9.1,13962,33.6,19.41
2011-07-01,9,13763,33.7,19.47
2011-08-01,9,13818,33.5,19.47
2011-09-01,9,13948,33.6,19.48
2011-10-01,8.8,13594,33.7,19.56
2011-11-01,8.6,13302,33.6,19.56
2011-12-01,8.5,13093,33.7,19.56
2012-01-01,8.3,12797,33.8,19.59
2012-02-01,8.3,12813,33.7,19.59
2012-03-01,8.2,12713,33.7,19.64
2012-04-01,8.2,12646,33.7,19.68
2012-05-01,8.2,12660,33.6,19.68
2012-06-01,8.2,12692,33.7,19.72
2012-07-01,8.2,12656,33.7,19.74
2012-08-01,8.1,12471,33.6,19.74
2012-09-01,7.8,12115,33.7,19.78
2012-10-01,7.8,12124,33.6,19.79
2012-11-01,7.7,12005,33.6,19.84
2012-12-01,7.9,12298,33.8,19.9
2013-01-01,8,12471,33.6,19.94
2013-02-01,7.7,11950,33.8,19.99
2013-03-01,7.5,11689,33.8,20.01
2013-04-01,7.6,11760,33.7,20.04
2013-05-01,7.5,11654,33.7,20.05
2013-06-01,7.5,11751,33.7,20.12
2013-07-01,7.3,11335,33.5,20.14
2013-08-01,7.2,11279,33.6,20.17
2013-09-01,7.2,11270,33.7,20.23
2013-10-01,7.2,11136,33.6,20.25
2013-11-01,6.9,10787,33.7,20.31
2013-12-01,6.7,10404,33.6,20.34
2014-01-01,6.6,10202,33.5,20.39
2014-02-01,6.7,10349,33.4,20.5
2014-03-01,6.7,10380,33.7,20.5
2014-04-01,6.2,9702,33.7,20.52
2014-05-01,6.3,9859,33.7,20.54
2014-06-01,6.1,9460,33.7,20.57
2014-07-01,6.2,9608,33.7,20.61
2014-08-01,6.1,9599,33.7,20.67
2014-09-01,5.9,9262,33.7,20.67
2014-10-01,5.7,8990,33.7,20.7
2014-11-01,5.8,9090,33.8,20.76
2014-12-01,5.6,8717,33.8,20.7
2015-01-01,5.7,8885,33.8,20.8
2015-02-01,5.5,8599,33.8,20.8
2015-03-01,5.4,8515,33.7,20.88
2015-04-01,5.4,8550,33.6,20.91
2015-05-01,5.6,8834,33.6,20.99
2015-06-01,5.3,8247,33.7,21.01
2015-07-01,5.2,8167,33.7,21.03
2015-08-01,5.1,7992,33.7,21.08
2015-09-01,5,7907,33.7,21.11
2015-10-01,5,7922,33.7,21.19
2015-11-01,5.1,8000,33.7,21.2
2015-12-01,5,7907,33.8,21.24
2016-01-01,4.8,7627,33.7,21.31
2016-02-01,4.9,7702,33.6,21.34
2016-03-01,5,7961,33.6,21.4
2016-04-01,5.1,8067,33.6,21.46
2016-05-01,4.8,7652,33.6,21.47
2016-06-01,4.9,7744,33.6,21.53
2016-07-01,4.8,7641,33.6,21.58
2016-08-01,4.9,7784,33.6,21.6
2016-09-01,5,7953,33.6,21.64
2016-10-01,4.9,7811,33.6,21.71
2016-11-01,4.7,7553,33.6,21.72
2016-12-01,4.7,7521,33.5,21.77
2017-01-01,4.7,7466,33.5,21.83
2017-02-01,4.6,7376,33.6,21.86
2017-03-01,4.4,7119,33.5,21.88
2017-04-01,4.5,7196,33.7,21.93
2017-05-01,4.4,7020,33.6,21.97
2017-06-01,4.3,6861,33.7,22.02
2017-07-01,4.3,6825,33.6,22.08
2017-08-01,4.4,7079,33.6,22.1
2017-09-01,4.2,6840,33.6,22.2
2017-10-01,4.1,6620,33.7,22.18
2017-11-01,4.2,6759,33.8,22.22
2017-12-01,4.1,6632,33.7,22.3
2018-01-01,4,6496,33.6,22.37
2018-02-01,4.1,6590,33.8,22.4
2018-03-01,4,6499,33.7,22.48
2018-04-01,4,6551,33.8,22.55
2018-05-01,3.8,6209,33.8,22.61
2018-06-01,4,6432,33.8,22.67
2018-07-01,3.8,6130,33.8,22.72
2018-08-01,3.8,6167,33.8,22.79
2018-09-01,3.7,6037,33.7,22.85
2018-10-01,3.8,6164,33.7,22.9
2018-11-01,3.8,6115,33.7,23
2018-12-01,3.9,6379,33.7,23.1
2019-01-01,4,6442,33.8,23.12
2019-02-01,3.8,6128,33.6,23.19
2019-03-01,3.8,6201,33.7,23.28
2019-04-01,3.7,5995,33.7,23.33
2019-05-01,3.7,5965,33.6,23.42
2019-06-01,3.6,5914,33.6,23.47
2019-07-01,3.6,5969,33.6,23.54
2019-08-01,3.7,6000,33.6,23.64
2019-09-01,3.5,5728,33.6,23.69
2019-10-01,3.6,5922,33.6,23.77
2019-11-01,3.6,5907,33.5,23.81
2019-12-01,3.6,5844,33.5,23.84
2020-01-01,3.5,5796,33.6,23.88
2020-02-01,3.5,5717,33.7,23.96
2020-03-01,4.4,7185,33.4,24.15
2020-04-01,14.8,23109,33.5,25.16
2020-05-01,13.3,20975,34.1,25.01
2020-06-01,11.1,17697,33.9,24.77
2020-07-01,10.2,16308,34,24.67
2020-08-01,8.4,13542,34,24.81
2020-09-01,7.8,12535,34.1,24.79
2020-10-01,6.9,11049,34.2,24.83
2020-11-01,6.7,10728,34.2,24.93
2020-12-01,6.7,10736,34.2,25.15
2021-01-01,6.3,10130,34.4,25.14
2021-02-01,6.2,9972,34,25.21
2021-03-01,6,9710,34.4,25.27
2021-04-01,6.1,9812,34.3,25.45
2021-05-01,5.8,9316,34.3,25.58
2021-06-01,5.9,9484,34.1,25.68
