"confianza.date","confianza.values","confianza_desest.values"
2022-04-01,44.301709560652,44.281927599589
2022-03-01,43.560277939672,43.927388427808
2022-02-01,42.940053805838,43.520967163725
2022-01-01,43.590903532298,43.407483897273
2021-12-01,44.896417492953,44.335748762494
2021-11-01,45.935432245422,45.914836441061
2021-10-01,43.843081349925,43.547756939597
2021-09-01,43.342082825586,43.421325811775
2021-08-01,42.474646633177,42.453558101158
2021-07-01,44.293387523757,44.09072467205
2021-06-01,44.347676509277,44.262307550032
2021-05-01,42.422701068798,42.717521105647
2021-04-01,42.509073150799,42.510735954244
2021-03-01,40.581572053441,40.946004683178
2021-02-01,38.640136961085,39.167584737246
2021-01-01,39.211395346757,39.02340518527
2020-12-01,38.748705307192,38.26841825247
2020-11-01,37.076740993337,37.056802241168
2020-10-01,37.891239623548,37.700873998052
2020-09-01,36.282043642848,36.376312731323
2020-08-01,35.06478313898,35.013831873994
2020-07-01,34.417344488576,34.248855801274
2020-06-01,31.957181906053,31.877207936577
2020-05-01,31.0682439087,31.213891269011
2020-04-01,32.223545786245,32.234544966405
2020-03-01,42.059280695535,42.478740213279
2020-02-01,43.329942793902,43.974933504326
2020-01-01,44.120454102385,43.88601090388
2019-12-01,43.757350301181,43.211055272096
2019-11-01,43.840726940102,43.825148734467
2019-10-01,44.059735903126,43.922846287632
2019-09-01,45.299473488517,45.457096576083
2019-08-01,43.819211712737,43.726325971798
2019-07-01,43.31769579868,43.050645244917
2019-06-01,43.665842320728,43.501350128341
2019-05-01,44.323546935751,44.337333844817
2019-04-01,45.484973893286,45.58614444722
2019-03-01,46.341067759577,46.938703571002
2019-02-01,47.826149713221,48.589268489668
2019-01-01,45.929883044868,45.683136936499
2018-12-01,44.865438497929,44.299522078943
2018-11-01,41.675040786564,41.606614433192
2018-10-01,42.533012467453,42.478489398142
2018-09-01,42.132704095465,42.321486430531
2018-08-01,43.005686306387,42.930471346041
2018-07-01,43.341085684473,43.046103899605
2018-06-01,37.148299568801,36.923823325502
2018-05-01,36.647874828559,36.524095039731
2018-04-01,35.611584664381,35.756160401853
2018-03-01,34.33672643824,34.776308411231
2018-02-01,34.189339177953,34.789319537969
2018-01-01,34.801847205944,34.645532786106
2017-12-01,36.315462765376,35.873302945532
2017-11-01,36.71679347458,36.613390229918
2017-10-01,36.436983240154,36.496078350736
2017-09-01,36.78794768643,36.975925376971
2017-08-01,36.505500828124,36.490937582599
2017-07-01,36.488627292065,36.204773678399
2017-06-01,36.010357040914,35.659417972096
2017-05-01,35.873278680958,35.600571618881
2017-04-01,34.934500730947,35.099541510404
2017-03-01,33.795125366695,34.213398304684
2017-02-01,31.515609602349,32.174836030262
2017-01-01,28.667872479598,28.608006271928
2016-12-01,35.478418724982,35.056073256188
2016-11-01,34.875177957368,34.769062084511
2016-10-01,35.031896434495,35.164116747719
2016-09-01,34.75499425375,34.892639666756
2016-08-01,35.655436898838,35.679042267002
2016-07-01,36.506041112359,36.166215413952
2016-06-01,38.349095003102,37.861820221847
2016-05-01,37.48480388305,37.179391746455
2016-04-01,36.713858243741,36.860473311505
2016-03-01,36.814432418721,37.187569893184
2016-02-01,36.732083562292,37.616015542123
2016-01-01,38.181521075725,38.122688352226
2015-12-01,38.368540211142,37.924434704505
2015-11-01,38.182935259202,38.222753034208
2015-10-01,37.813079113192,38.01753064935
2015-09-01,37.449011862979,37.526595668924
2015-08-01,37.383557196312,37.376497101141
2015-07-01,38.131884189947,37.668955802463
2015-06-01,39.111922237709,38.608800150095
2015-05-01,38.031691558286,37.768192930258
2015-04-01,37.842864420838,37.928857167311
2015-03-01,38.505218872517,38.847387239455
2015-02-01,37.491142610507,38.402691361092
2015-01-01,38.062504132065,37.949649124351
2014-12-01,38.691437136761,38.324180545277
2014-11-01,38.475968975641,38.751285241563
2014-10-01,37.69354202331,37.949711074912
2014-09-01,38.219888179972,38.203037862224
2014-08-01,37.450159922915,37.341378134639
2014-07-01,37.551813280327,36.95142584852
2014-06-01,37.904949226011,37.472155295573
2014-05-01,37.751338610127,37.688107329815
2014-04-01,37.610133678604,37.662818143255
2014-03-01,37.135146875798,37.347206885799
2014-02-01,35.734569280527,36.480104499528
2014-01-01,35.55082196899,35.372887913146
2013-12-01,37.370687475109,37.111769220442
2013-11-01,36.946459914669,37.473797985452
2013-10-01,38.077522808407,38.444107354556
2013-09-01,39.1824867984,39.057212234828
2013-08-01,40.530821931584,40.287694945702
2013-07-01,40.656212356296,39.886629595108
2013-06-01,38.770561839289,38.372845692751
2013-05-01,39.447116122771,39.53489136381
2013-04-01,39.836111711187,39.846306578755
2013-03-01,39.933931587186,40.117737018476
2013-02-01,39.688212720412,40.355502962301
2013-01-01,41.613375849309,41.331883719216
2012-12-01,41.139502632716,40.97037474403
2012-11-01,39.121394785678,39.905518454633
2012-10-01,39.629339806128,40.154143524563
2012-09-01,39.355022500154,39.083119032143
2012-08-01,40.783200354223,40.404641241583
2012-07-01,41.147825546828,40.272803595208
2012-06-01,39.713253382883,39.337645469747
2012-05-01,39.732253561534,40.001605060196
2012-04-01,40.224532607652,40.217874960014
2012-03-01,38.875000703175,39.063843912758
2012-02-01,38.980432396401,39.466622800534
2012-01-01,39.360421363223,39.019175854663
2011-12-01,37.714854775457,37.577552878696
2011-11-01,37.423838980921,38.317986880484
2011-10-01,37.709374678645,38.377831441821
2011-09-01,38.482258123392,38.090121252571
2011-08-01,38.902257492951,38.431922875073
2011-07-01,39.75370331643,38.952077969651
2011-06-01,38.767404368536,38.476086910886
2011-05-01,37.359706575395,37.665165791425
