"imcp_total.date","imcp_total.values","imcp_nacional.values","imcp_nacional_bienes.values","imcp_nacional_servicios.values","imcp_importado.values"
2022-02-01,112.185437453833,109.419088936104,105.584050893038,113.320148844443,137.140081283065
2022-01-01,119.2625923384,118.058918066053,119.500780841862,116.592232988912,130.120682908082
2021-12-01,120.277729433663,117.277424740455,114.913233403985,119.68231666976,147.342842349961
2021-11-01,118.627642605736,115.000245066477,115.733509320894,114.254357345677,151.349627214372
2021-10-01,115.848381839911,112.267643453865,112.378730130458,112.154644371316,148.149464113809
2021-09-01,112.255277253826,108.98922258647,106.56241226291,111.457811516246,141.71766437834
2021-08-01,112.383407180293,109.77310606238,106.391397738981,113.213031980704,135.930380479969
2021-07-01,113.568581660102,111.375464692991,108.359800781425,114.443044584071,133.352225130671
2021-06-01,112.636095044093,110.753680751308,109.213090427342,112.320793014734,129.616955522972
2021-05-01,113.222635009959,111.700237853134,110.433147433159,112.989141791529,126.955857187758
2021-04-01,110.482213774071,109.615728201505,109.439295321854,109.795198450715,118.298596528444
2021-03-01,110.58887693122,107.764071500523,107.212044913738,108.325601467596,136.070848186161
2021-02-01,102.121787571915,100.964104549028,101.404570144484,100.516056144777,112.565000825106
2021-01-01,111.50019840834,110.691705644051,116.69129857802,104.58882708112,118.793440327079
2020-12-01,111.649500184814,109.656070819138,110.31811829291,108.982625907159,129.631804113752
2020-11-01,110.445651500882,108.466148907762,111.91972100869,104.953122045397,128.30232496547
2020-10-01,109.601679733558,107.999349109969,112.717668967619,103.199801302439,124.055964778284
2020-09-01,103.972208058319,102.454224339782,102.947507074914,101.952449525584,117.665617544467
2020-08-01,101.730453769429,100.926567463103,100.92595788934,100.927187530946,108.982141806921
2020-07-01,101.198165588057,101.068539581166,102.890222247688,99.215495846976,102.367494330341
2020-06-01,94.421205222584,95.14027416683,96.267094988938,93.994054629073,87.93463663684
2020-05-01,87.230447670617,88.533110652634,84.109928929582,93.032439392878,75.479400925268
2020-04-01,87.201565564927,87.772853939124,82.954035978463,92.674629968675,82.048094189036
2020-03-01,110.061592673725,110.497292794712,106.19977082731,114.868798491389,106.131234200849
2020-02-01,111.083881034418,111.115536504874,103.183825938534,119.183794954315,110.798323742771
2020-01-01,122.167022591292,121.904269537603,120.99708680713,122.827069817454,124.537262215058
2019-12-01,118.095113423414,117.545678753048,110.823769517028,124.383308610604,123.051447167532
