"mayoreo_ocup.date","mayoreo_ocup.values","mayoreo_remun.values","mayoreo_ventas.values","mayoreo_compras.values","menudeo_ocup.values","menudeo_remun.values","menudeo_ventas.values","menudeo_compras.values"
2021-03-01,115.877164802377,105.093006042383,108.762784599111,105.26916627825,100.253526269896,112.950927959496,114.541088693393,107.470770099334
2021-02-01,115.061411911712,104.876350723137,105.844727029028,103.937654259413,100.237857140638,112.488293190312,110.584631963661,104.740046482746
2021-01-01,114.845298719229,105.050215180185,104.2712254147,105.017860454831,100.10717521722,113.084497198988,107.854350484664,104.240598476578
2020-12-01,114.692132663052,104.636190249921,103.158095914443,101.966247622367,98.919541220487,114.682466099055,108.126398631992,102.625436247378
2020-11-01,114.535725615837,104.621625065335,102.127147690833,101.36311246395,99.493614364412,115.52032013339,110.728558189666,102.788916847369
2020-10-01,114.701529189299,103.311092418926,100.171009115904,98.033654794122,99.864273785015,114.08737462866,106.699447948478,101.033214354784
2020-09-01,114.52459238518,103.854483403085,98.702323709739,96.450860107881,99.600771858974,112.68837896009,106.89297885079,100.307212851746
2020-08-01,114.325751746975,102.527916252398,97.36122691997,93.607119296071,98.076455112383,113.908523471979,104.512655243177,98.031421046892
2020-07-01,114.332760024276,102.17019648857,95.786089548781,92.043809610381,97.397416568705,113.973213284607,101.76160436855,95.434222435287
2020-06-01,114.432355748405,102.165554250582,91.216896054456,90.64360847583,96.123575110303,113.566036955965,96.009724910013,89.970848629969
2020-05-01,111.147706318902,101.465966853901,81.828697507607,85.111311046252,95.834012539478,114.189506612397,89.059682283748,82.354599001546
2020-04-01,115.061292136627,107.442213646312,85.604584782859,89.035893655158,94.737839771478,114.471298061102,88.248441524454,84.011540489804
2020-03-01,117.253071573351,101.849105600197,104.560717058721,103.140960113033,104.150343845915,115.298480095596,112.533761155817,105.852423205775
2020-02-01,117.472112864315,101.961561210494,105.152187522891,103.876968418917,104.301586558994,115.685743547123,114.297520158119,108.823378732538
2020-01-01,117.497329332697,102.167506644917,106.053949191728,104.482210507361,104.275714213869,115.815908450331,115.983144998406,108.138054502304
2019-12-01,117.421733296588,102.811516254313,105.538612407597,107.259246545579,104.701361964324,113.149369732082,115.322378300382,107.16845078845
2019-11-01,117.348313936672,104.798744078029,105.851087697748,105.476531212018,104.461820605195,116.204427164007,116.158328903111,107.677692130659
2019-10-01,117.234607757438,106.559770784797,105.869788929201,106.606401389154,104.576530571055,115.219997408773,114.824004772342,107.054599834869
2019-09-01,117.133816889456,103.469622990327,107.129398634138,106.983490762644,105.057989729508,115.086101278128,116.107951989851,109.876871897858
2019-08-01,117.167580587829,105.43371753421,107.57938346879,109.589284444905,105.19502543922,114.664010164512,116.211074165814,108.874048904392
2019-07-01,117.470504319307,104.267302458452,108.061301571852,110.85379768156,105.060759906766,113.921484185376,116.057430602852,109.944761694998
2019-06-01,117.477477076302,103.740675579387,108.160796770791,109.498374612547,105.117858521877,113.916266340441,116.06757072089,110.892519424417
2019-05-01,117.06851966131,105.226118622514,107.65225710196,110.317893691744,104.96833817928,113.874132122209,116.362274883575,110.922045015237
2019-04-01,116.739670886831,103.861228870168,108.057417226071,110.16495066874,104.505579898602,113.568615906949,115.572539937061,110.172495867646
2019-03-01,116.591570834661,103.160249701208,108.070568890086,110.379957574562,104.277609024203,113.149218073879,115.000026429849,109.795690045966
2019-02-01,116.194551873809,105.348103100366,108.162199558316,107.079651827169,104.506688532196,112.921743530075,115.75648152681,109.766523565081
2019-01-01,116.059104018718,105.709353037554,108.365317710545,115.030918031212,104.32924929369,111.911866494334,114.344253412435,107.967888657303
2018-12-01,115.867653915578,106.339447043761,106.684734494114,110.18523301081,104.682350264082,108.952882676804,111.702301514332,108.070810795888
2018-11-01,115.510108671061,110.559641238102,109.445714752618,112.842087047772,104.678415712322,110.51843414363,114.138075419838,108.592506064572
2018-10-01,115.308149814076,106.910688509598,112.626296839781,114.058293871975,104.350525783965,110.027470175358,114.171367499538,108.520814089653
2018-09-01,114.783004818174,107.173032546509,110.527344366253,114.116220689621,104.373619384429,110.652727886078,113.818350478403,107.742703693539
2018-08-01,114.96364153562,107.281661427852,110.030646509888,112.439708071967,105.106584602545,109.507261015963,113.414880276953,108.170433657127
2018-07-01,114.81556845809,107.151157116908,110.237891175452,112.455529852717,105.089362300442,110.032015116062,114.06384870129,107.455619696098
2018-06-01,114.258567376112,107.682404106001,111.520374030976,114.378194607883,105.162302354639,109.864599154752,113.92123345512,107.448338064103
2018-05-01,114.53576231178,106.870525214076,111.6257082198,113.637470213461,105.240558779959,109.24294461408,113.365199759162,107.743201880817
2018-04-01,113.626820492629,106.821171028928,110.208780939585,114.543614378611,105.656549696879,109.885810042362,113.071264683197,108.108137607419
2018-03-01,113.175351657406,105.701622438018,111.634784521996,113.082237071604,105.786610836169,109.430634150765,113.646984678094,110.08992210461
2018-02-01,112.939225215368,104.054628947359,109.067045689658,108.858106998874,104.207094987849,109.109254825494,112.099587812006,106.817242598909
2018-01-01,112.447806707715,105.426755296831,108.349916538764,119.59005252038,104.405347325777,108.816143069741,111.739509394876,107.211353076916
2017-12-01,112.044178840694,106.312043024959,108.620186759795,111.504569992583,103.452870040265,108.925004395577,112.157812329808,109.066066283579
2017-11-01,111.865951282595,104.453273973559,107.727913363279,109.312586462489,104.23976525943,108.22346298881,110.775200995462,108.106831530351
2017-10-01,111.576326112066,105.118067377352,107.603065872355,108.754835617754,104.441882355663,108.672121000498,111.796403887136,108.751029785279
2017-09-01,111.551760186632,105.435461345554,107.318840605388,109.923891159944,104.218377222395,108.041147255671,110.311312617443,107.697609658575
2017-08-01,111.198514092128,104.423271985491,107.955177005416,110.484881921838,103.87016970216,108.659259911725,111.116717928838,109.930259279148
2017-07-01,110.959942893818,106.113098045393,107.695151748885,109.50790181911,103.672796672451,108.356502827715,111.592605885205,109.494509795319
2017-06-01,108.743445558553,106.282039718411,106.770902020467,109.25090008476,103.492851776724,108.749172231272,111.36519108833,108.531562387531
