"igae..1...date.sq.","igae..1...values.sq.","igae..2...values.sq.","igae..3...values.sq.","igae..4...values.sq.","igae..5...values.sq.","igae..6...values.sq.","igae..7...values.sq.","igae..8...values.sq.","igae..9...values.sq.","igae..10...values.sq.","igae..11...values.sq.","igae..12...values.sq.","igae..13...values.sq.","igae..14...values.sq.","igae..15...values.sq.","igae..16...values.sq.","igae..17...values.sq."
2014-04-01,102.346647674593,100.706186922115,102.951986830319,99.221508704179,108.618107116065,103.919617243052,103.977529549329,101.89692528956,104.454248226475,101.714539806197,104.887070384147,102.108054717566,99.771839305205,100.096784467996,99.302442701243,100.928064272077,100.50375985505
2014-03-01,101.579477861484,104.488042049506,102.228200819715,99.435713733911,107.616889673622,102.718789718191,103.027815336127,101.335381714386,102.396927909909,99.864107440067,103.719152449835,102.380897626506,98.396950786687,100.190970001005,96.822555396985,101.417724996161,100.376259109175
2014-02-01,101.590532046652,105.096696380028,101.56514704932,100.002289873642,106.123652485353,102.669472246913,101.500098728394,101.542227445533,104.102657971993,100.905310010642,101.35756482526,101.964701440995,99.816574483421,100.35194632207,99.8550431359,101.762963676219,101.059107017982
2014-01-01,100.2622667488,95.017931780733,100.826706137857,100.212210986938,106.900805497696,98.774127328927,101.642227041508,100.277605151299,101.424580563351,97.055847389997,101.308163103538,101.458147594589,98.850634512766,100.490708164507,99.595375890986,102.203501980795,101.437512011697
2013-12-01,101.161219337617,102.654746353773,100.889191148453,101.343721681454,100.924054907615,101.184919411829,99.616227404879,101.113258769528,100.507947272297,99.232490613406,101.409096294928,102.886583799638,101.254341563279,99.952418622045,101.649896078854,102.668971897324,101.983368237762
2013-11-01,100.633628060046,101.798248445654,100.399204920613,101.527302704028,101.392944410302,99.930607514739,100.341631671544,100.709212678124,100.086931059371,99.226900677054,100.975377416174,101.165147896455,101.026489531419,100.251967201334,100.466762357203,100.948607736688,101.792323392757
2013-10-01,100.677727427547,106.719505456579,100.659371438738,100.922380301576,100.406871605798,99.245942449533,101.403082745241,100.444072313368,100.331712872389,98.444753474921,101.618988838278,100.2389453529,100.064764794859,100.105956228867,99.590926417853,100.320034027805,102.33913400141
2013-09-01,100.413693474465,100.232931948118,99.681257768902,99.47422531726,99.996042657659,98.580598343479,100.367829890587,100.358292806106,98.616102080503,99.727219262149,100.997959317561,100.713080895231,100.364338495252,99.980647886359,100.620620157722,100.489512811147,102.296123989288
2013-08-01,100.328092398046,97.186912961565,100.378293051522,99.7792114246,100.701521585176,99.608952459484,100.81458616239,100.464503732548,100.612581368676,100.025066912452,100.171962650552,100.238306855569,100.679658677671,100.773776578206,100.336780720805,99.985024555679,100.92595242205
2013-07-01,99.60612001347,100.424737629435,99.753864817287,99.454081790907,100.469976056089,97.942910027325,100.106288698917,99.680158527774,98.650008907032,99.97676049235,100.509725710795,99.815168029532,99.870244855088,98.587479041856,100.351432569781,100.660179786436,99.738285472587
2013-06-01,99.59280144288,100.195712132005,99.190408684639,99.146114585605,99.80048214393,98.190832158661,99.798706477305,99.643438658616,99.768053625068,101.442101202762,99.783001847317,98.838241355215,97.346782362399,99.714625167321,99.813385093197,99.526701463249,99.574094926838
2013-05-01,99.827279140934,99.070248435195,100.14967412049,99.03552078656,100.09915914935,102.828875170935,99.398616284587,99.826790206021,99.938125537767,100.923234856665,99.069128750141,100.64875895494,99.872274031069,100.134826146055,99.381395928305,98.966797349966,99.013288812852
2013-04-01,99.150946855494,99.075990716566,98.919222796947,99.470593902368,98.344449977394,98.606381312243,99.201785258186,99.370324192611,99.923286756319,100.68542611192,98.650988484599,98.94629745032,99.312857687763,99.485780052873,99.800249503471,98.668607257509,97.231804894615
2013-03-01,99.61640787149,95.37561177397,100.093916411263,99.636822126433,97.888490231702,100.78648809095,99.949292316276,99.660450918527,100.937675701248,101.423892149258,99.340594703172,99.168036274233,97.444775029686,100.607710414355,99.969281196615,99.683976871705,97.977940556621
2013-02-01,99.51929293366,95.953341598048,100.478809273664,100.238876797212,99.348815210141,102.472598432009,99.943430452905,99.146642661001,98.534288434273,98.97365921417,98.885703516232,98.725632149326,100.794107968784,100.026575889028,98.837406579572,99.295965031537,98.163348111383
2013-01-01,99.516916584012,98.887790078654,99.921653141792,100.814212724832,99.95545475049,100.67132019045,99.583086494841,99.348722164358,101.005211702489,99.046817032298,98.952859051217,98.712991849419,101.292770885052,100.112011952404,98.475804977252,98.449578034867,99.266721546811
2012-12-01,99.476737011104,98.657138537098,99.40297100067,100.934158749797,99.530486817872,96.902773895803,99.299680056912,99.530998121986,103.517903425961,99.56581612258,99.19794113263,98.17651785336,101.136312970546,99.794738399319,98.224661387492,99.714468501485,100.330359383799
2012-11-01,100.413991120872,106.167946681572,100.596356300955,102.602767797592,100.67204457819,102.495481484243,99.290394309926,99.798650597868,101.059634107657,99.210356256918,99.37830472022,98.625791046488,98.930965199059,99.979725441464,98.895785163631,99.933600802261,100.839526453066
2012-10-01,98.959237800677,96.152337261356,99.864415199738,100.29132230983,99.97361719977,101.829597500099,98.460610887972,98.788207126862,99.154687505787,97.622473741626,98.292177539348,97.844624121352,98.737961628993,99.77516052006,98.438387787959,99.386877184803,100.560550243084
2012-09-01,98.918779534072,94.236124223253,100.995267913351,100.309397731851,99.391947496276,103.637306895153,100.721049477897,97.478888470556,97.528968800264,94.762416255599,98.042887660778,97.229468418433,97.824099204045,99.907898193254,98.16520008465,100.515874897738,98.132948581521
