"date","MRTSSM44X72USS","MRTSSM44Y72USS","MRTSSM441USS","MRTSSM441XUSS","MRTSSM4413USS"
2003-10-01,304809,234992,69817,64341,5476
2003-11-01,308527,236789,71738,66239,5499
2003-12-01,307407,237304,70103,64681,5422
2004-01-01,309254,239984,69270,63831,5439
2004-02-01,311393,240300,71093,65586,5507
2004-03-01,316912,244775,72137,66560,5577
2004-04-01,313512,243552,69960,64479,5481
2004-05-01,318964,246143,72821,67280,5541
2004-06-01,314958,245967,68991,63515,5476
2004-07-01,318549,247311,71238,65708,5530
2004-08-01,318977,247612,71365,65839,5526
2004-09-01,324569,249840,74729,69215,5514
2004-10-01,326740,252882,73858,68248,5610
2004-11-01,327836,254429,73407,67804,5603
2004-12-01,331874,256487,75387,69644,5743
2005-01-01,328696,256613,72083,66148,5935
2005-02-01,333026,259253,73773,67949,5824
2005-03-01,333581,259434,74147,68419,5728
2005-04-01,336583,262934,73649,67796,5853
2005-05-01,334522,261297,73225,67471,5754
2005-06-01,343998,264359,79639,73811,5828
2005-07-01,346576,264971,81605,75821,5784
2005-08-01,343307,269520,73787,67954,5833
2005-09-01,343956,273329,70627,64858,5769
2005-10-01,344097,276244,67853,62054,5799
2005-11-01,347325,274114,73211,67189,6022
2005-12-01,347405,274073,73332,67308,6024
2006-01-01,357331,280574,76757,70547,6210
2006-02-01,354706,280598,74108,68077,6031
2006-03-01,355665,281056,74609,68596,6013
2006-04-01,357423,282525,74898,68909,5989
2006-05-01,356704,282623,74081,68180,5901
2006-06-01,357879,282510,75369,69407,5962
2006-07-01,359006,283042,75964,69950,6014
2006-08-01,360691,285504,75187,69157,6030
2006-09-01,358961,284382,74579,68476,6103
2006-10-01,358462,283015,75447,69373,6074
2006-11-01,359266,283202,76064,70063,6001
2006-12-01,363730,288292,75438,69320,6118
2007-01-01,363616,288217,75399,69294,6105
2007-02-01,364006,288165,75841,69794,6047
2007-03-01,367158,291686,75472,69224,6248
2007-04-01,366187,289982,76205,70074,6131
2007-05-01,370934,293748,77186,70918,6268
2007-06-01,368154,293360,74794,68600,6194
2007-07-01,369614,294682,74932,68703,6229
2007-08-01,371358,294809,76549,70288,6261
2007-09-01,372869,295693,77176,70881,6295
2007-10-01,375289,297672,77617,71206,6411
2007-11-01,378860,302939,75921,69638,6283
2007-12-01,374298,300953,73345,67126,6219
2008-01-01,375236,301402,73834,67606,6228
2008-02-01,371833,299627,72206,65976,6230
2008-03-01,372745,300971,71774,65537,6237
2008-04-01,372572,302520,70052,63765,6287
2008-05-01,376036,306893,69143,62769,6374
2008-06-01,376455,309294,67161,60739,6422
2008-07-01,375038,310641,64397,57934,6463
2008-08-01,372284,307299,64985,58687,6298
2008-09-01,366729,304180,62549,56200,6349
2008-10-01,352950,296351,56599,50253,6346
2008-11-01,339350,284366,54984,48542,6442
2008-12-01,332091,277968,54123,47728,6395
2009-01-01,336929,281139,55790,49379,6411
2009-02-01,335576,281388,54188,47822,6366
2009-03-01,329747,276647,53100,46853,6247
2009-04-01,331352,277795,53557,47280,6277
2009-05-01,334256,280167,54089,47827,6262
2009-06-01,339883,283272,56611,50407,6204
2009-07-01,340517,282769,57748,51605,6143
2009-08-01,346668,284405,62263,56161,6102
2009-09-01,338507,284973,53534,47483,6051
2009-10-01,341654,285185,56469,50371,6098
2009-11-01,344375,287020,57355,51339,6016
2009-12-01,346072,288993,57079,50990,6089
2010-01-01,345959,289219,56740,50643,6097
2010-02-01,346895,291039,55856,49638,6218
2010-03-01,354379,293482,60897,54583,6314
2010-04-01,357365,295536,61829,55332,6497
2010-05-01,354299,292676,61623,55204,6419
2010-06-01,353763,292396,61367,54921,6446
2010-07-01,354665,292045,62620,56151,6469
2010-08-01,356810,294159,62651,56003,6648
2010-09-01,359465,296205,63260,56619,6641
2010-10-01,363340,298610,64730,58073,6657
2010-11-01,367455,301943,65512,58792,6720
2010-12-01,369135,303898,65237,58466,6771
2011-01-01,372057,305771,66286,59677,6609
2011-02-01,375092,307772,67320,60656,6664
2011-03-01,378582,311008,67574,60775,6799
2011-04-01,380508,313791,66717,59960,6757
2011-05-01,380353,314442,65911,59083,6828
2011-06-01,383140,316372,66768,59739,7029
2011-07-01,382889,316467,66422,59475,6947
2011-08-01,384006,318147,65859,58739,7120
2011-09-01,387509,318693,68816,61682,7134
2011-10-01,390086,320206,69880,62855,7025
2011-11-01,391541,321318,70223,63166,7057
2011-12-01,391608,320123,71485,64463,7022
2012-01-01,395720,324000,71720,64527,7193
2012-02-01,400329,327740,72589,65522,7067
2012-03-01,401661,329010,72651,65671,6980
2012-04-01,400214,327270,72944,65933,7011
2012-05-01,399331,325692,73639,66687,6952
2012-06-01,395585,323199,72386,65451,6935
2012-07-01,397567,324442,73125,66088,7037
2012-08-01,402162,328242,73920,67009,6911
2012-09-01,405555,330360,75195,68148,7047
2012-10-01,405699,330886,74813,67769,7044
