"igae..1...date.sq.","igae..1...values.sq.","igae..2...values.sq.","igae..3...values.sq.","igae..4...values.sq.","igae..5...values.sq.","igae..6...values.sq.","igae..7...values.sq.","igae..8...values.sq.","igae..9...values.sq.","igae..10...values.sq.","igae..11...values.sq.","igae..12...values.sq.","igae..13...values.sq.","igae..14...values.sq.","igae..15...values.sq.","igae..16...values.sq.","igae..17...values.sq."
2021-11-01,112.747422776376,166.204763182768,98.295940567267,73.127870989759,107.070973939444,88.124517550329,113.510250791405,117.92843655337,132.066940570743,136.328550607186,137.091357228684,120.586817023552,65.838564005219,105.349021212024,97.927167357489,102.251307054597,106.268045658593
2021-10-01,108.414628813707,102.417764542454,99.88151059525,75.234308051145,114.917589870802,88.647350108201,114.769014514865,113.367046741732,136.012836242092,119.107764845843,132.774834563449,118.242924846008,55.983204563811,105.843157051991,94.854149280475,95.874848399607,104.585254970447
2021-09-01,104.178349269431,86.593052977362,97.256713759932,73.730261545939,116.214900495318,88.344361918937,110.180265287403,108.836668936024,122.108964330398,109.685748595961,128.193362514708,118.883478836767,60.715317922569,101.018218068909,93.940446639038,79.611565268566,104.055046939413
2021-08-01,107.140814745596,92.352858431151,101.015820604615,76.63773842107,118.633565821361,93.161328843756,113.950553961529,111.224008113754,119.999161069752,115.316947541064,128.142834656757,122.309900489826,70.144206517925,99.954494731865,97.284664974212,90.430842717004,100.484313692689
2021-07-01,109.855137227577,120.353230582551,98.767687693539,73.740302447226,119.835519669937,88.011912265072,113.029420905039,115.36816160605,125.007061156127,112.436183632405,128.631912540134,122.014226993115,99.810478989606,103.80367424993,99.340043942153,102.302183019591,105.683764293292
2021-06-01,111.105106646033,132.876383461234,98.0148002304,74.309840989671,115.6782665504,85.275362574938,112.938886520079,117.141399710718,127.801725203854,111.492647198183,131.31861326031,119.697951096808,120.712746796343,108.178124095015,91.137590476913,91.82043265409,107.077922264116
2021-05-01,111.957910779343,132.082231472444,98.905066136658,76.246185300445,112.470023716299,90.307491253121,111.803099477019,118.056799656251,117.202229131304,113.077295736073,128.837729921025,123.866297689369,134.712245583412,106.714205251955,89.344664120882,93.532849706447,112.20792372711
2021-04-01,107.927530308201,103.984480213609,97.445657768326,73.233094996865,106.167884426617,89.795945271873,111.052498082863,113.838413121957,110.694711319453,108.644573552239,124.443313063687,121.146534226701,125.423513754376,103.720217429663,92.647108712301,88.077197415693,109.460663030796
2021-03-01,111.474212757108,94.002324215546,101.100748603584,76.044072573843,104.447588767448,89.00294310685,117.684285104626,118.007905761301,131.08767959096,113.434493405218,122.313381109353,121.278636438376,141.665243837188,105.091647522301,89.190520378145,82.16124413529,105.243975230977
2021-02-01,102.636031253018,104.856604610987,94.780799689107,73.340357853606,97.174583101048,93.630419103729,104.692519922991,106.804852102863,106.984241640142,102.10525999761,107.104900210659,118.08773037859,114.509992894008,104.330087910449,85.23070430938,64.071475877894,105.140313206182
2021-01-01,105.381349447511,132.189027593161,97.562994890774,81.192740295015,101.498386099925,87.444560287013,109.272329886826,108.290821472244,111.430785024712,101.603569486813,110.599935417253,121.118076499035,111.841413324647,103.803322177381,86.294350438794,65.113063433046,104.603496019752
2020-12-01,110.686676185129,149.808057500578,94.482263413396,72.454796406209,102.856241016821,87.770185988163,106.703398154506,117.545526024313,113.083764494087,127.727709451866,125.236100725913,121.24356390917,142.114938179716,103.653135814434,88.35517476692,68.243929428352,105.574417391508
2020-11-01,110.908588313201,155.415221667202,96.705443519193,71.826703084073,108.976545255312,88.700915091896,110.441119065134,116.405407882506,121.317927205052,127.692733976965,123.342233048678,119.135522307229,123.187404178636,104.252638084312,89.318482532243,70.872211475824,105.860914158685
2020-10-01,109.115966808295,105.532725585718,99.199555757649,74.425183119116,117.479494072363,86.104477427526,114.711076030654,114.700563586717,132.471387869348,118.566976889197,118.432354019831,117.298469286422,118.445743424206,105.35295387893,86.848228698755,65.189086816545,104.760432307284
2020-09-01,103.223347899012,87.518674166181,95.793740923609,72.373606889196,120.872119343679,81.507861685454,110.614665155375,108.063700721819,113.943232032595,104.459666796591,113.937370271671,116.760362057187,118.019734148095,98.980340583894,84.768258994599,55.810679252327,103.00385465777
2020-08-01,102.705443314979,90.708047267209,95.736419341996,75.166667867662,124.983791343883,85.62417504104,106.925718287922,107.10794316921,111.057630207184,102.361790963538,110.96702661454,119.408279948082,114.988908800929,99.125786063086,86.410912350978,54.522379835209,99.935131322278
2020-07-01,102.170641561059,120.55544304824,91.473649151744,71.425371778951,115.291670648213,77.062989680511,104.96312032342,107.073374469112,106.529104205831,104.048386513517,108.756114198964,119.796375514841,115.958040300874,100.705484537383,84.392625287756,52.070264256028,106.438082206251
2020-06-01,97.863745560796,122.556956728647,86.280866049023,70.751233485466,107.339004198403,74.35906478989,96.839602212183,102.931286714379,108.099823024557,93.405419544175,102.256333563727,116.457673200151,110.174603724444,106.110304874906,73.561078423929,37.579524652118,104.915295065915
2020-05-01,88.927924737047,122.216828342022,72.512787653535,69.961984358954,102.603752651091,62.908728030702,75.317150129342,96.19558141934,82.707323471421,74.948136436558,93.131285142996,119.989829148649,114.339448252885,102.146717271794,70.925862844155,32.161047535718,108.871990568397
2020-04-01,88.18296560517,104.843977925161,72.113091956232,69.799212371406,107.627655605816,63.055770531128,74.04091149064,96.100557400697,93.976252612158,73.164778382332,91.493326148008,118.10887982688,110.673532441992,99.022985337412,71.478446495528,32.402439631224,108.025733654026
