"des_tot.date","des_tot.values","des_h.values","des_m.values"
2012-05-01,4.6736979,4.6042202,4.7852627
2012-04-01,4.8579851,4.86190009,4.85154879
2012-03-01,4.51848892,4.664798,4.27786258
2012-02-01,5.28010781,5.56944774,4.79479579
2012-01-01,4.87974373,4.92059769,4.81226923
2011-12-01,4.50680533,4.70476886,4.18339661
2011-11-01,4.96127892,4.92229382,5.02425435
2011-10-01,4.99339894,5.13456849,4.77068476
2011-09-01,5.43238833,5.19849481,5.81903427
2011-08-01,5.70524018,5.45771989,6.12463332
2011-07-01,5.47711851,5.3799078,5.63858405
2011-06-01,5.40078705,5.31173032,5.54966197
2011-05-01,5.1807634,5.27184357,5.02697871
2011-04-01,5.13063631,5.1296162,5.13235402
2011-03-01,4.6417399,4.78595356,4.39649044
2011-02-01,5.33848434,5.49383937,5.07010828
2011-01-01,5.33701074,5.49934279,5.05867425
2010-12-01,4.93696896,5.2553004,4.39312936
2010-11-01,5.17235956,5.42295879,4.74244971
2010-10-01,5.48130608,5.81941458,4.90916348
2010-09-01,5.65759828,5.69821155,5.59167234
2010-08-01,5.41578641,5.1566513,5.84968276
2010-07-01,5.58516833,5.53213867,5.67466681
2010-06-01,4.92164306,5.0749748,4.66739095
2010-05-01,4.99547176,4.89074527,5.1703688
2010-04-01,5.34734688,5.37736936,5.29737163
2010-03-01,4.74399195,4.67388746,4.85922338
2010-02-01,5.28089391,5.37356994,5.12511985
2010-01-01,5.76104202,5.92586731,5.48413297
2009-12-01,4.72919858,4.89036386,4.46049697
2009-11-01,5.10901165,5.22789826,4.91453534
2009-10-01,5.67001668,5.77167914,5.50401099
2009-09-01,6.41981154,6.03575065,7.03274491
2009-08-01,6.14570455,5.58404136,7.04139365
2009-07-01,5.82153796,5.67343048,6.06878749
2009-06-01,4.97563651,5.20042027,4.59317943
2009-05-01,5.23171387,5.46159006,4.84619556
2009-04-01,5.05535586,5.29329777,4.6512213
2009-03-01,4.66487867,4.76386138,4.49561157
2009-02-01,5.23817316,5.40048612,4.96464856
2009-01-01,5.00904125,4.82261885,5.32476533
2008-12-01,4.02480419,3.9327427,4.18236727
2008-11-01,4.32293494,4.50305819,4.02277334
2008-10-01,4.17178615,4.39032367,3.80057309
2008-09-01,4.14089721,3.9369816,4.48261601
2008-08-01,4.05671164,4.04141487,4.08276382
